region_code,region_code_type,region_code_level,parent_region_code,level_1_region_code,level_2_region_code,level_3_region_code,region_name,alt_name1,alt_name2,alt_name3,alt_name4,population_year,population
KIR,iso_3166-1,1,WORLD,KIR,None,None,Kiribati,,,,,,
LSO,iso_3166-1,1,WORLD,LSO,None,None,Lesotho,,,,,2020,6521494468
MAC,iso_3166-1,1,WORLD,MAC,None,None,Macao,,Macao,,,2020,2083380
MHL,iso_3166-1,1,WORLD,MHL,None,None,Marshall Islands,,,,,2020,375265
MTQ,iso_3166-1,1,WORLD,MTQ,None,None,Martinique,,,,,2020,4649660
MYT,iso_3166-1,1,WORLD,MYT,None,None,Mayotte,,,,,2020,11122990
NRU,iso_3166-1,1,WORLD,NRU,None,None,Nauru,,,,,2020,29136808
ANT,iso_3166-1,1,WORLD,ANT,None,None,Netherlands Antilles,,,,,,
NIU,iso_3166-1,1,WORLD,NIU,None,None,Niue,,,,,2020,368869644
NFK,iso_3166-1,1,WORLD,NFK,None,None,Norfolk Island,,,,,,
PLW,iso_3166-1,1,WORLD,PLW,None,None,Palau,,,,,2020,5101416
PCN,iso_3166-1,1,WORLD,PCN,None,None,Pitcairn,,,,,,
REU,iso_3166-1,1,WORLD,REU,None,None,Réunion,,,,,2020,19237682
MAF,iso_3166-1,1,WORLD,MAF,None,None,Saint Martin (French part),,,,,2020,5795
SPM,iso_3166-1,1,WORLD,SPM,None,None,Saint Pierre and Miquelon,,,,,2020,110947
WSM,iso_3166-1,1,WORLD,WSM,None,None,Samoa,,,,,2020,33938
SLB,iso_3166-1,1,WORLD,SLB,None,None,Solomon Islands,,,,,2020,15893219
SGS,iso_3166-1,1,WORLD,SGS,None,None,South Georgia and the South Sandwich Islands,,,,,,
SJM,iso_3166-1,1,WORLD,SJM,None,None,Svalbard and Jan Mayen,,,,,,
TJK,iso_3166-1,1,WORLD,TJK,None,None,Tajikistan,,,,,2020,59734213
TKL,iso_3166-1,1,WORLD,TKL,None,None,Tokelau,,,,,2020,105697
TON,iso_3166-1,1,WORLD,TON,None,None,Tonga,,,,,2020,1399491
TKM,iso_3166-1,1,WORLD,TKM,None,None,Turkmenistan,,,,,2020,38718
TUV,iso_3166-1,1,WORLD,TUV,None,None,Tuvalu,,,,,2020,45741000
UMI,iso_3166-1,1,WORLD,UMI,None,None,United States Minor Outlying Islands,,,,,,
VUT,iso_3166-1,1,WORLD,VUT,None,None,Vanuatu,,,,,2020,809
WLF,iso_3166-1,1,WORLD,WLF,None,None,Wallis and Futuna,,,,,2020,401861255
