fecha,dia,nuevos,muertes,recuperados,muertes acumuladas,recuperaciones acumuladas,casos acumulados,uci,tests
2020-03-06,0,1,0,0,0,0,1,0,-1
2020-03-09,3,2,0,0,0,0,3,0,-1
2020-03-11,5,6,0,0,0,0,9,0,-1
2020-03-12,6,5,0,0,0,0,14,0,-1
2020-03-13,7,5,0,1,0,1,19,0,-1
2020-03-14,8,18,0,1,0,2,37,0,-1
2020-03-15,9,16,0,1,0,3,53,0,-1
2020-03-16,10,14,1,0,1,3,67,0,-1
2020-03-17,11,25,0,1,1,4,92,0,-1
2020-03-18,12,12,0,0,1,4,104,0,-1
2020-03-19,13,26,0,1,1,5,130,0,-1
2020-03-20,14,48,0,2,1,7,178,0,-1
2020-03-21,15,34,0,4,1,11,212,0,-1
2020-03-22,16,29,1,3,2,14,241,0,-1
2020-03-23,17,73,1,9,3,23,314,0,-1
2020-03-24,18,105,1,11,4,34,419,0,-1
2020-03-25,19,61,4,13,8,47,480,0,-1
2020-03-26,20,10,2,18,10,65,490,0,-1
2020-03-27,21,49,3,18,13,83,539,23,-1
2020-03-28,22,69,5,32,18,115,608,27,-1
2020-03-29,23,94,1,30,19,145,702,29,-1
2020-03-30,24,96,5,36,24,181,798,31,-1
2020-03-31,25,107,5,29,29,210,905,35,-1
2020-04-01,26,160,4,33,33,243,1065,47,-1
2020-04-02,27,96,7,33,40,276,1161,50,-1
2020-04-03,28,105,13,38,53,314,1266,54,-1
2020-04-04,29,140,15,41,68,355,1406,57,-1
2020-04-05,30,79,8,23,76,378,1485,63,-1
2020-04-06,31,94,12,26,88,404,1579,76,-1
2020-04-07,32,129,8,26,96,430,1708,76,-1
2020-04-08,33,346,5,44,101,474,2054,85,-1
2020-04-09,34,169,12,45,113,519,2223,84,-1
2020-04-10,35,251,5,50,118,569,2474,86,-1
2020-04-11,36,235,8,54,126,623,2709,92,-1
2020-04-12,37,67,12,95,138,718,2776,103,-1
2020-04-13,38,76,7,98,145,816,2852,106,-1
2020-04-14,39,126,11,82,156,898,2978,103,-1
2020-04-15,40,125,12,101,168,999,3103,98,-1
2020-04-16,41,128,16,78,184,1077,3231,105,-1
2020-04-17,42,205,4,54,188,1131,3436,112,-1
2020-04-18,43,183,12,58,200,1189,3619,-1,-1
2020-04-19,44,175,9,76,209,1265,3794,100,-1
2020-04-20,45,182,9,86,218,1351,3976,95,-1
2020-04-21,46,171,9,88,227,1439,4147,108,-1
2020-04-22,47,193,8,90,235,1529,4340,102,-1
2020-04-23,48,195,9,103,244,1632,4535,119,-1
2020-04-23,48,195,9,103,244,1632,4535,0,-1
2020-04-24,49,304,14,92,258,1724,4839,117,-1
2020-04-25,50,262,9,103,267,1827,5101,118,-1
2020-04-26,51,237,18,81,285,1908,5338,116,-1
2020-04-27,52,218,11,85,296,1993,5556,-1,-1
2020-04-28,53,354,11,102,307,2095,5910,115,-1
2020-04-29,54,261,19,131,326,2226,6171,-1,-1
2020-04-30,55,296,21,62,347,2288,6467,-1,-1
2020-05-01,56,501,11,113,358,2401,6968,120,-1
2020-05-02,57,278,19,123,377,2524,7246,122,-1
2020-05-03,58,423,18,98,395,2622,7669,122,-1
2020-05-04,59,307,20,139,415,2761,7976,120,-1
2020-05-05,60,641,15,302,430,3063,8617,126,-1
2020-05-06,61,347,23,223,453,3286,8964,123,-1
2020-05-07,62,497,25,160,478,3446,9461,129,-1
2020-05-08,63,595,17,160,495,3606,10056,130,-1
2020-05-09,64,444,16,197,511,3803,10500,128,-1
2020-05-10,65,568,17,161,528,3964,11068,128,-1
2020-05-11,66,551,26,223,554,4187,11619,119,-1
2020-05-12,67,658,10,142,564,4329,12277,129,-1
2020-05-13,68,659,14,225,578,4554,12936,131,-1
2020-05-14,69,680,18,134,596,4688,13616,138,-1
2020-05-15,70,606,20,205,616,4893,14222,136,-1
2020-05-16,71,725,19,201,635,5094,14947,148,-1
2020-05-17,72,639,20,143,655,5237,15586,157,-1
2020-05-17,72,639,20,143,655,5237,15586,155,-1
2020-05-18,73,718,25,191,680,5428,16304,164,-1
2020-05-19,74,641,28,195,708,5623,16945,176,-1
2020-05-20,75,777,28,247,736,5870,17722,176,-1
2020-05-21,76,644,24,275,760,6145,18366,175,-1
2020-05-22,77,802,38,257,798,6402,19168,172,-1
2020-05-23,78,1017,38,208,836,6610,20185,185,-1
2020-05-24,79,1002,36,297,872,6907,21187,193,-1
2020-05-25,80,801,26,277,898,7184,21988,205,-1
2020-05-26,81,1021,38,344,936,7528,23009,249,-1
2020-05-27,82,1102,28,316,964,7844,24111,227,-1
2020-05-28,83,1255,35,353,999,8197,25366,234,-1
2020-05-29,84,1324,40,315,1039,8512,26690,235,-1
2020-05-30,85,1548,48,206,1087,8718,28238,240,-1
2020-05-31,86,1139,39,1935,1126,10653,29377,243,-1
2020-06-01,87,1103,44,280,1170,10933,30480,289,-1
2020-06-02,88,1290,38,1424,1208,12357,31770,305,-1
2020-06-03,89,1501,57,1065,1265,13422,33271,335,-1
2020-06-04,90,1713,45,591,1310,14013,34984,347,-1
2020-06-05,91,1465,47,847,1357,14860,36449,377,-1
2020-06-06,92,1347,33,380,1390,15240,37796,392,-1
2020-06-07,93,1191,42,941,1432,16181,38987,394,-1
2020-06-08,94,1454,38,992,1470,17173,40441,423,-1
2020-06-09,95,1358,28,226,1498,17399,41799,447,-1
2020-06-10,96,1604,22,669,1520,18068,43403,458,-1
2020-06-11,97,1913,20,138,1540,18206,45316,477,-1
2020-06-12,98,1189,5,420,1545,18626,46505,490,-1
