"Date","Negative","Positive","Percent"
"23.02.2020",12,0,0
"24.02.2020",62,0,0
"25.02.2020",146,2,1.4
"26.02.2020",247,2,0.8
"27.02.2020",287,3,1
"28.02.2020",203,6,2.9
"29.02.2020",230,5,2.1
"01.03.2020",383,8,2
"02.03.2020",360,20,5.3
"03.03.2020",326,15,4.4
"04.03.2020",356,18,4.8
"05.03.2020",340,25,6.8
"06.03.2020",296,19,6
"07.03.2020",358,50,12.3
"08.03.2020",1231,253,17
"09.03.2020",1493,193,11.4
"10.03.2020",1937,148,7.1
"11.03.2020",2840,177,5.9
"12.03.2020",3902,152,3.7
"13.03.2020",2672,89,3.2
"14.03.2020",2794,76,2.6
"15.03.2020",6131,132,2.1
"16.03.2020",6433,153,2.3
"17.03.2020",6641,186,2.7
"18.03.2020",5779,204,3.4
"19.03.2020",4856,263,5.1
"20.03.2020",2324,183,7.3
"21.03.2020",1156,132,10.2
"22.03.2020",3312,252,7.1
"23.03.2020",3244,284,8
"24.03.2020",3093,251,7.5
"25.03.2020",2915,270,8.5
"26.03.2020",3031,260,7.9
"27.03.2020",1623,178,9.9
"28.03.2020",1117,126,10.1
"29.03.2020",2931,241,7.6
"30.03.2020",3200,246,7.1
"31.03.2020",3517,207,5.6
"01.04.2020",3111,199,6
"02.04.2020",3153,177,5.3
"03.04.2020",1224,91,6.9
"04.04.2020",978,73,6.9
"05.04.2020",3106,164,5
"06.04.2020",2596,151,5.5
"07.04.2020",1961,108,5.2
"08.04.2020",1096,105,8.7
"09.04.2020",1153,70,5.7
"10.04.2020",1174,110,8.6
"11.04.2020",1043,74,6.6
"12.04.2020",1075,77,6.7
"13.04.2020",2825,126,4.3
"14.04.2020",2914,109,3.6
"15.04.2020",2668,83,3
"16.04.2020",2653,113,4.1
"17.04.2020",977,50,4.9
"18.04.2020",974,35,3.5
"19.04.2020",3268,88,2.6
"20.04.2020",3149,81,2.5
"21.04.2020",2874,76,2.6
"22.04.2020",2530,71,2.7
"23.04.2020",2827,55,1.9
"24.04.2020",942,25,2.6
"25.04.2020",803,37,4.4
"26.04.2020",3552,71,2
"27.04.2020",3592,51,1.4
"28.04.2020",3431,42,1.2
"29.04.2020",3934,39,1
"30.04.2020",1275,42,3.2
"01.05.2020",1348,23,1.7
"02.05.2020",1064,43,3.9
"03.05.2020",4172,45,1.1
"04.05.2020",3837,47,1.2
"05.05.2020",3767,41,1.1
"06.05.2020",3341,30,0.9
"07.05.2020",3349,43,1.3
"08.05.2020",1151,11,0.9
"09.05.2020",838,12,1.4
"10.05.2020",3906,24,0.6
"11.05.2020",3802,19,0.5
"12.05.2020",3635,19,0.5
"13.05.2020",3714,23,0.6
"14.05.2020",3694,22,0.6
"15.05.2020",1113,13,1.2
"16.05.2020",543,4,0.7
"17.05.2020",3899,19,0.5
"18.05.2020",3798,20,0.5
"19.05.2020",3483,19,0.5
"20.05.2020",953,14,1.4
"21.05.2020",2891,26,0.9
"22.05.2020",854,6,0.7
"23.05.2020",725,6,0.8
"24.05.2020",3516,18,0.5
"25.05.2020",2970,12,0.4
"26.05.2020",2775,18,0.6
"27.05.2020",2420,17,0.7
"28.05.2020",2220,16,0.7
"29.05.2020",660,0,0
"30.05.2020",488,6,1.2
"31.05.2020",588,7,1.2
"01.06.2020",2745,32,1.2
"02.06.2020",2454,12,0.5
"03.06.2020",2498,17,0.7
"04.06.2020",2478,30,1.2
"05.06.2020",771,9,1.2
"06.06.2020",746,9,1.2
"07.06.2020",5184,18,0.3
"08.06.2020",4774,13,0.3
"09.06.2020",3975,15,0.4
"10.06.2020",3986,11,0.3
"11.06.2020",3120,8,0.3
"12.06.2020",730,4,0.5
"13.06.2020",354,2,0.6
