region_name,region_type,parent_region_code,region_code,region_code_level,region_code_type,leaf_region_code,country_iso_3166-1_alpha-2,country_iso_3166-1_alpha-3,country_iso_3166-1_numeric,level_1_region_code,level_2_region_code,level_3_region_code,datacommons_name,datacommons_id,wikidata_id
Monroe County,county,US-MS,US-MS-28095,3,fips_6-4,28095,US,USA,840,USA,US-MS,US-MS-28095,Monroe County,geoId/28095,Q491276
Jackson County,county,US-MO,US-MO-29095,3,fips_6-4,29095,US,USA,840,USA,US-MO,US-MO-29095,Jackson County,geoId/29095,Q127238
Stillwater County,county,US-MT,US-MT-30095,3,fips_6-4,30095,US,USA,840,USA,US-MT,US-MT-30095,Stillwater County,geoId/30095,Q490750
Jefferson County,county,US-NE,US-NE-31095,3,fips_6-4,31095,US,USA,840,USA,US-NE,US-NE-31095,Jefferson County,geoId/31095,Q489939
Schoharie County,county,US-NY,US-NY-36095,3,fips_6-4,36095,US,USA,840,USA,US-NY,US-NY-36095,Schoharie County,geoId/36095,Q71202
Hyde County,county,US-NC,US-NC-37095,3,fips_6-4,37095,US,USA,840,USA,US-NC,US-NC-37095,Hyde County,geoId/37095,Q511659
Towner County,county,US-ND,US-ND-38095,3,fips_6-4,38095,US,USA,840,USA,US-ND,US-ND-38095,Towner County,geoId/38095,Q511510
Lucas County,county,US-OH,US-OH-39095,3,fips_6-4,39095,US,USA,840,USA,US-OH,US-OH-39095,Lucas County,geoId/39095,Q112107
Marshall County,county,US-OK,US-OK-40095,3,fips_6-4,40095,US,USA,840,USA,US-OK,US-OK-40095,Marshall County,geoId/40095,Q489306
Northampton County,county,US-PA,US-PA-42095,3,fips_6-4,42095,US,USA,840,USA,US-PA,US-PA-42095,Northampton County,geoId/42095,Q495658
Mellette County,county,US-SD,US-SD-46095,3,fips_6-4,46095,US,USA,840,USA,US-SD,US-SD-46095,Mellette County,geoId/46095,Q495261
Lake County,county,US-TN,US-TN-47095,3,fips_6-4,47095,US,USA,840,USA,US-TN,US-TN-47095,Lake County,geoId/47095,Q494771
Concho County,county,US-TX,US-TX-48095,3,fips_6-4,48095,US,USA,840,USA,US-TX,US-TX-48095,Concho County,geoId/48095,Q109795
James City County,county,US-VA,US-VA-51095,3,fips_6-4,51095,US,USA,840,USA,US-VA,US-VA-51095,James City County,geoId/51095,Q337688
Tyler County,county,US-WV,US-WV-54095,3,fips_6-4,54095,US,USA,840,USA,US-WV,US-WV-54095,Tyler County,geoId/54095,Q511069
Polk County,county,US-WI,US-WI-55095,3,fips_6-4,55095,US,USA,840,USA,US-WI,US-WI-55095,Polk County,geoId/55095,Q376102
Maunabo Municipio,county,US-PR,US-PR-72095,3,fips_6-4,72095,US,USA,840,USA,US-PR,US-PR-72095,Maunabo,geoId/72095,Q967149
Mobile County,county,US-AL,US-AL-01097,3,fips_6-4,01097,US,USA,840,USA,US-AL,US-AL-01097,Mobile County,geoId/01097,Q495738
Montgomery County,county,US-AR,US-AR-05097,3,fips_6-4,05097,US,USA,840,USA,US-AR,US-AR-05097,Montgomery County,geoId/05097,Q61521
Sonoma County,county,US-CA,US-CA-06097,3,fips_6-4,06097,US,USA,840,USA,US-CA,US-CA-06097,Sonoma County,geoId/06097,Q108067
Pitkin County,county,US-CO,US-CO-08097,3,fips_6-4,08097,US,USA,840,USA,US-CO,US-CO-08097,Pitkin County,geoId/08097,Q312475
Osceola County,county,US-FL,US-FL-12097,3,fips_6-4,12097,US,USA,840,USA,US-FL,US-FL-12097,Osceola County,geoId/12097,Q501067
Douglas County,county,US-GA,US-GA-13097,3,fips_6-4,13097,US,USA,840,USA,US-GA,US-GA-13097,Douglas County,geoId/13097,Q486325
Lake County,county,US-IL,US-IL-17097,3,fips_6-4,17097,US,USA,840,USA,US-IL,US-IL-17097,Lake County,geoId/17097,Q484263
Marion County,county,US-IN,US-IN-18097,3,fips_6-4,18097,US,USA,840,USA,US-IN,US-IN-18097,Marion County,geoId/18097,Q506230
Jackson County,county,US-IA,US-IA-19097,3,fips_6-4,19097,US,USA,840,USA,US-IA,US-IA-19097,Jackson County,geoId/19097,Q485780
Kiowa County,county,US-KS,US-KS-20097,3,fips_6-4,20097,US,USA,840,USA,US-KS,US-KS-20097,Kiowa County,geoId/20097,Q379663
Harrison County,county,US-KY,US-KY-21097,3,fips_6-4,21097,US,USA,840,USA,US-KY,US-KY-21097,Harrison County,geoId/21097,Q491970
St. Landry Parish,county,US-LA,US-LA-22097,3,fips_6-4,22097,US,USA,840,USA,US-LA,US-LA-22097,St. Landry Parish,geoId/22097,Q507099
Mackinac County,county,US-MI,US-MI-26097,3,fips_6-4,26097,US,USA,840,USA,US-MI,US-MI-26097,Mackinac County,geoId/26097,Q491121
Morrison County,county,US-MN,US-MN-27097,3,fips_6-4,27097,US,USA,840,USA,US-MN,US-MN-27097,Morrison County,geoId/27097,Q491272
Montgomery County,county,US-MS,US-MS-28097,3,fips_6-4,28097,US,USA,840,USA,US-MS,US-MS-28097,Montgomery County,geoId/28097,Q490859
Jasper County,county,US-MO,US-MO-29097,3,fips_6-4,29097,US,USA,840,USA,US-MO,US-MO-29097,Jasper County,geoId/29097,Q490134
Sweet Grass County,county,US-MT,US-MT-30097,3,fips_6-4,30097,US,USA,840,USA,US-MT,US-MT-30097,Sweet Grass County,geoId/30097,Q496616
Johnson County,county,US-NE,US-NE-31097,3,fips_6-4,31097,US,USA,840,USA,US-NE,US-NE-31097,Johnson County,geoId/31097,Q489677
Schuyler County,county,US-NY,US-NY-36097,3,fips_6-4,36097,US,USA,840,USA,US-NY,US-NY-36097,Schuyler County,geoId/36097,Q71190
Iredell County,county,US-NC,US-NC-37097,3,fips_6-4,37097,US,USA,840,USA,US-NC,US-NC-37097,Iredell County,geoId/37097,Q502875
Traill County,county,US-ND,US-ND-38097,3,fips_6-4,38097,US,USA,840,USA,US-ND,US-ND-38097,Traill County,geoId/38097,Q511524
Madison County,county,US-OH,US-OH-39097,3,fips_6-4,39097,US,USA,840,USA,US-OH,US-OH-39097,Madison County,geoId/39097,Q485526
Mayes County,county,US-OK,US-OK-40097,3,fips_6-4,40097,US,USA,840,USA,US-OK,US-OK-40097,Mayes County,geoId/40097,Q495937
Northumberland County,county,US-PA,US-PA-42097,3,fips_6-4,42097,US,USA,840,USA,US-PA,US-PA-42097,Northumberland County,geoId/42097,Q494164
Miner County,county,US-SD,US-SD-46097,3,fips_6-4,46097,US,USA,840,USA,US-SD,US-SD-46097,Miner County,geoId/46097,Q338939
Lauderdale County,county,US-TN,US-TN-47097,3,fips_6-4,47097,US,USA,840,USA,US-TN,US-TN-47097,Lauderdale County,geoId/47097,Q502364
