region_code,region_code_level,region_type,region_code_type,region_name,local_variant,local_language_name,alt_name_1,local_numeric_code,local_alpha_code,alt_name_2,alt_name_3,alt_name_4
BE-VAN,3,province,iso_3166-2,Antwerpen,,,,,,,,
BE-VBR,3,province,iso_3166-2,Vlaams-Brabant,,,,,,,,
BE-VLG,2,region,iso_3166-2,Vlaams Gewest,"flamande, Région",,Flemish Region,,,,,
BE-VLI,3,province,iso_3166-2,Limburg,,,,,,,,
BE-VOV,3,province,iso_3166-2,Oost-Vlaanderen,,,,,,,,
BE-VWV,3,province,iso_3166-2,West-Vlaanderen,,,,,,,,
BE-WAL,2,region,iso_3166-2,Waals Gewest,"wallonne, Région",,Walloon Region,,,,,
BE-WBR,3,province,iso_3166-2,Brabant wallon,,,,,,,,
BE-WHT,3,province,iso_3166-2,Hainaut,,,,,,,,
BE-WLG,3,province,iso_3166-2,Liège,,,,,,,,
BE-WLX,3,province,iso_3166-2,Luxembourg,,,,,,,,
BE-WNA,3,province,iso_3166-2,Namur,,,,,,,,
BF-01,2,region,iso_3166-2,Boucle du Mouhoun,,,,,,,,
BF-02,2,region,iso_3166-2,Cascades,,,,,,,,
BF-03,2,region,iso_3166-2,Centre,,,,,,,,
BF-04,2,region,iso_3166-2,Centre-Est,,,,,,,,
BF-05,2,region,iso_3166-2,Centre-Nord,,,,,,,,
BF-06,2,region,iso_3166-2,Centre-Ouest,,,,,,,,
BF-07,2,region,iso_3166-2,Centre-Sud,,,,,,,,
BF-08,2,region,iso_3166-2,Est,,,,,,,,
BF-09,2,region,iso_3166-2,Hauts-Bassins,,,,,,,,
BF-10,2,region,iso_3166-2,Nord,,,,,,,,
BF-11,2,region,iso_3166-2,Plateau-Central,,,,,,,,
BF-12,2,region,iso_3166-2,Sahel,,,,,,,,
BF-13,2,region,iso_3166-2,Sud-Ouest,,,,,,,,
BG-01,2,district,iso_3166-2,Blagoevgrad,,Благоевград,,,,,,
BG-02,2,district,iso_3166-2,Burgas,,Бургас,,,,,,
BG-03,2,district,iso_3166-2,Varna,,Варна,,,,,,
BG-04,2,district,iso_3166-2,Veliko Tarnovo,,Велико Търново,,,,,,
BG-05,2,district,iso_3166-2,Vidin,,Видин,,,,,,
BG-06,2,district,iso_3166-2,Vratsa,,Враца,,,,,,
BG-07,2,district,iso_3166-2,Gabrovo,,Габрово,,,,,,
BG-08,2,district,iso_3166-2,Dobrich,,Добрич,,,,,,
BG-09,2,district,iso_3166-2,Kardzhali,,Кърджали,,,,,,
BG-10,2,district,iso_3166-2,Kyustendil,,Кюстендил,,,,,,
BG-11,2,district,iso_3166-2,Lovech,,Ловеч,,,,,,
BG-12,2,district,iso_3166-2,Montana,,Монтана,,,,,,
BG-13,2,district,iso_3166-2,Pazardzhik,,Пазарджик,,,,,,
BG-14,2,district,iso_3166-2,Pernik,,Перник,,,,,,
BG-15,2,district,iso_3166-2,Pleven,,Плевен,,,,,,
BG-16,2,district,iso_3166-2,Plovdiv,,Пловдив,,,,,,
BG-17,2,district,iso_3166-2,Razgrad,,Разград,,,,,,
BG-18,2,district,iso_3166-2,Ruse,,Русе,,,,,,
BG-19,2,district,iso_3166-2,Silistra,,Силистра,,,,,,
BG-20,2,district,iso_3166-2,Sliven,,Сливен,,,,,,
BG-21,2,district,iso_3166-2,Smolyan,,Смолян,,,,,,
BG-22,2,district,iso_3166-2,Sofia (stolitsa),,София,,,,,,
BG-23,2,district,iso_3166-2,Sofia,,Софийска област,,,,,,
BG-24,2,district,iso_3166-2,Stara Zagora,,Стара Загора,,,,,,
BG-25,2,district,iso_3166-2,Targovishte,,Търговище,,,,,,
BG-26,2,district,iso_3166-2,Haskovo,,Хасково,,,,,,
BG-27,2,district,iso_3166-2,Shumen,,Шумен,,,,,,
BG-28,2,district,iso_3166-2,Yambol,,Ямбол,,,,,,
