region_code,region_code_level,region_type,region_code_type,region_name,local_variant,local_language_name,alt_name_1,local_numeric_code,local_alpha_code,alt_name_2,alt_name_3,alt_name_4
GB-MAN,3,metropolitan district,iso_3166-2,Manchester,,,,,,,,
GB-MDB,3,unitary authority,iso_3166-2,Middlesbrough,,,,,,,,
GB-MDW,3,unitary authority,iso_3166-2,Medway,,,,,,,,
GB-MEA,3,district,iso_3166-2,Mid and East Antrim,,,,,,,,
GB-MIK,3,unitary authority,iso_3166-2,Milton Keynes,,,,,,,,
GB-MLN,3,council area,iso_3166-2,Midlothian,,,,,,,,
GB-MON,3,unitary authority,iso_3166-2,Monmouthshire,Sir Fynwy,,,,GB-FYN,,,
GB-MRT,3,London borough,iso_3166-2,Merton,,,,,,,,
GB-MRY,3,council area,iso_3166-2,Moray,,,,,,,,
GB-MTY,3,unitary authority,iso_3166-2,Merthyr Tydfil,Merthyr Tudful,,,,GB-MTU,,,
GB-MUL,3,district,iso_3166-2,Mid Ulster,,,,,,,,
GB-NAY,3,council area,iso_3166-2,North Ayrshire,,,,,,,,
GB-NBL,3,unitary authority,iso_3166-2,Northumberland,,,,,,,,
GB-NEL,3,unitary authority,iso_3166-2,North East Lincolnshire,,,,,,,,
GB-NET,3,metropolitan district,iso_3166-2,Newcastle upon Tyne,,,,,,,,
GB-NFK,3,two-tier county,iso_3166-2,Norfolk,,,,,,,,
GB-NGM,3,unitary authority,iso_3166-2,Nottingham,,,,,,,,
GB-NIR,2,province,iso_3166-2,Northern Ireland,,,,,,,,
GB-NLK,3,council area,iso_3166-2,North Lanarkshire,,,,,,,,
GB-NLN,3,unitary authority,iso_3166-2,North Lincolnshire,,,,,,,,
GB-NMD,3,district,iso_3166-2,"Newry, Mourne and Down",,,,,,,,
GB-NSM,3,unitary authority,iso_3166-2,North Somerset,,,,,,,,
GB-NTH,3,two-tier county,iso_3166-2,Northamptonshire,,,,,,,,
GB-NTL,3,unitary authority,iso_3166-2,Neath Port Talbot,Castell-nedd Port Talbot,,,,GB-CTL,,,
GB-NTT,3,two-tier county,iso_3166-2,Nottinghamshire,,,,,,,,
GB-NTY,3,metropolitan district,iso_3166-2,North Tyneside,,,,,,,,
GB-NWM,3,London borough,iso_3166-2,Newham,,,,,,,,
GB-NWP,3,unitary authority,iso_3166-2,Newport,Casnewydd,,,,GB-CNW,,,
GB-NYK,3,two-tier county,iso_3166-2,North Yorkshire,,,,,,,,
GB-OLD,3,metropolitan district,iso_3166-2,Oldham,,,,,,,,
GB-ORK,3,council area,iso_3166-2,Orkney Islands,,,,,,,,
GB-OXF,3,two-tier county,iso_3166-2,Oxfordshire,,,,,,,,
GB-PEM,3,unitary authority,iso_3166-2,Pembrokeshire,Sir Benfro,,,,GB-BNF,,,
GB-PKN,3,council area,iso_3166-2,Perth and Kinross,,,,,,,,
GB-PLY,3,unitary authority,iso_3166-2,Plymouth,,,,,,,,
GB-POL,3,unitary authority,iso_3166-2,Poole,,,,,,,,
GB-POR,3,unitary authority,iso_3166-2,Portsmouth,,,,,,,,
GB-POW,3,unitary authority,iso_3166-2,Powys,,,,,,,,
GB-PTE,3,unitary authority,iso_3166-2,Peterborough,,,,,,,,
GB-RCC,3,unitary authority,iso_3166-2,Redcar and Cleveland,,,,,,,,
GB-RCH,3,metropolitan district,iso_3166-2,Rochdale,,,,,,,,
GB-RCT,3,unitary authority,iso_3166-2,"Rhondda, Cynon, Taff","Rhondda, Cynon, Taf",,,,,,,
GB-RDB,3,London borough,iso_3166-2,Redbridge,,,,,,,,
GB-RDG,3,unitary authority,iso_3166-2,Reading,,,,,,,,
GB-RFW,3,council area,iso_3166-2,Renfrewshire,,,,,,,,
GB-RIC,3,London borough,iso_3166-2,Richmond upon Thames,,,,,,,,
GB-ROT,3,metropolitan district,iso_3166-2,Rotherham,,,,,,,,
GB-RUT,3,unitary authority,iso_3166-2,Rutland,,,,,,,,
GB-SAW,3,metropolitan district,iso_3166-2,Sandwell,,,,,,,,
GB-SAY,3,council area,iso_3166-2,South Ayrshire,,,,,,,,
GB-SCB,3,council area,iso_3166-2,"Scottish Borders, The",,,,,,,,
GB-SCT,2,country,iso_3166-2,Scotland,,,,,,,,
GB-SFK,3,two-tier county,iso_3166-2,Suffolk,,,,,,,,
GB-SFT,3,metropolitan district,iso_3166-2,Sefton,,,,,,,,
GB-SGC,3,unitary authority,iso_3166-2,South Gloucestershire,,,,,,,,
GB-SHF,3,metropolitan district,iso_3166-2,Sheffield,,,,,,,,
GB-SHN,3,metropolitan district,iso_3166-2,St. Helens,,,,,,,,
GB-SHR,3,unitary authority,iso_3166-2,Shropshire,,,,,,,,
GB-SKP,3,metropolitan district,iso_3166-2,Stockport,,,,,,,,
GB-SLF,3,metropolitan district,iso_3166-2,Salford,,,,,,,,
GB-SLG,3,unitary authority,iso_3166-2,Slough,,,,,,,,
GB-SLK,3,council area,iso_3166-2,South Lanarkshire,,,,,,,,
GB-SND,3,metropolitan district,iso_3166-2,Sunderland,,,,,,,,
GB-SOL,3,metropolitan district,iso_3166-2,Solihull,,,,,,,,
GB-SOM,3,two-tier county,iso_3166-2,Somerset,,,,,,,,
GB-SOS,3,unitary authority,iso_3166-2,Southend-on-Sea,,,,,,,,
GB-SRY,3,two-tier county,iso_3166-2,Surrey,,,,,,,,
GB-STE,3,unitary authority,iso_3166-2,Stoke-on-Trent,,,,,,,,
GB-STG,3,council area,iso_3166-2,Stirling,,,,,,,,
GB-STH,3,unitary authority,iso_3166-2,Southampton,,,,,,,,
GB-STN,3,London borough,iso_3166-2,Sutton,,,,,,,,
GB-STS,3,two-tier county,iso_3166-2,Staffordshire,,,,,,,,
GB-STT,3,unitary authority,iso_3166-2,Stockton-on-Tees,,,,,,,,
GB-STY,3,metropolitan district,iso_3166-2,South Tyneside,,,,,,,,
GB-SWA,3,unitary authority,iso_3166-2,Swansea,Abertawe,,,,GB-ATA,,,
GB-SWD,3,unitary authority,iso_3166-2,Swindon,,,,,,,,
GB-SWK,3,London borough,iso_3166-2,Southwark,,,,,,,,
GB-TAM,3,metropolitan district,iso_3166-2,Tameside,,,,,,,,
GB-TFW,3,unitary authority,iso_3166-2,Telford and Wrekin,,,,,,,,
GB-THR,3,unitary authority,iso_3166-2,Thurrock,,,,,,,,
GB-TOB,3,unitary authority,iso_3166-2,Torbay,,,,,,,,
GB-TOF,3,unitary authority,iso_3166-2,Torfaen,Tor-faen,,,,,,,
GB-TRF,3,metropolitan district,iso_3166-2,Trafford,,,,,,,,
GB-TWH,3,London borough,iso_3166-2,Tower Hamlets,,,,,,,,
GB-UKM,2,nation,iso_3166-2,United Kingdom,,,,,,,,
GB-VGL,3,unitary authority,iso_3166-2,"Vale of Glamorgan, The",Bro Morgannwg,,,,GB-BMG,,,
GB-WAR,3,two-tier county,iso_3166-2,Warwickshire,,,,,,,,
GB-WBK,3,unitary authority,iso_3166-2,West Berkshire,,,,,,,,
GB-WDU,3,council area,iso_3166-2,West Dunbartonshire,,,,,,,,
GB-WFT,3,London borough,iso_3166-2,Waltham Forest,,,,,,,,
GB-WGN,3,metropolitan district,iso_3166-2,Wigan,,,,,,,,
GB-WIL,3,unitary authority,iso_3166-2,Wiltshire,,,,,,,,
GB-WKF,3,metropolitan district,iso_3166-2,Wakefield,,,,,,,,
GB-WLL,3,metropolitan district,iso_3166-2,Walsall,,,,,,,,
GB-WLN,3,council area,iso_3166-2,West Lothian,,,,,,,,
GB-WLS,2,country,iso_3166-2,Wales [Cymru GB-CYM],,,,,,,,
GB-WLV,3,metropolitan district,iso_3166-2,Wolverhampton,,,,,,,,
GB-WND,3,London borough,iso_3166-2,Wandsworth,,,,,,,,
GB-WNM,3,unitary authority,iso_3166-2,Windsor and Maidenhead,,,,,,,,
GB-WOK,3,unitary authority,iso_3166-2,Wokingham,,,,,,,,
GB-WOR,3,two-tier county,iso_3166-2,Worcestershire,,,,,,,,
GB-WRL,3,metropolitan district,iso_3166-2,Wirral,,,,,,,,
GB-WRT,3,unitary authority,iso_3166-2,Warrington,,,,,,,,
GB-WRX,3,unitary authority,iso_3166-2,Wrexham,Wrecsam,,,,GB-WRC,,,
GB-WSM,3,London borough,iso_3166-2,Westminster,,,,,,,,
GB-WSX,3,two-tier county,iso_3166-2,West Sussex,,,,,,,,
GB-YOR,3,unitary authority,iso_3166-2,York,,,,,,,,
GB-ZET,3,council area,iso_3166-2,Shetland Islands,,,,,,,,
GD-01,2,parish,iso_3166-2,Saint Andrew,,,,,,,,
GD-02,2,parish,iso_3166-2,Saint David,,,,,,,,
GD-03,2,parish,iso_3166-2,Saint George,,,,,,,,
GD-04,2,parish,iso_3166-2,Saint John,,,,,,,,
GD-05,2,parish,iso_3166-2,Saint Mark,,,,,,,,
GD-06,2,parish,iso_3166-2,Saint Patrick,,,,,,,,
GD-10,2,dependency,iso_3166-2,Southern Grenadine Islands,Carriacou,,,,,,,
GE-AB,2,autonomous republic,iso_3166-2,Abkhazia,Apkhazeti,აფხაზეთი,,,,,,
GE-AJ,2,autonomous republic,iso_3166-2,Ajaria,Ach'ara,აჭარა,,,,,,
GE-GU,2,region,iso_3166-2,Guria,,გურია,,,,,,
GE-IM,2,region,iso_3166-2,Imereti,,იმერეთი,,,,,,
GE-KA,2,region,iso_3166-2,K'akheti,,კახეთი,,,,,,
GE-KK,2,region,iso_3166-2,Kvemo Kartli,,ქვემო ქართლი,,,,,,
GE-MM,2,region,iso_3166-2,Mtskheta-Mtianeti,,მცხეთა-მთიანეთი,,,,,,
GE-RL,2,region,iso_3166-2,Rach'a-Lechkhumi-Kvemo Svaneti,,რაჭა-ლეჩხუმი და ქვემო სვანეთი,,,,,,
GE-SJ,2,region,iso_3166-2,Samtskhe-Javakheti,,სამცხე-ჯავახეთი,,,,,,
GE-SK,2,region,iso_3166-2,Shida Kartli,,შიდა ქართლი,,,,,,
GE-SZ,2,region,iso_3166-2,Samegrelo-Zemo Svaneti,,სამეგრელო-ზემო სვანეთი,,,,,,
GE-TB,2,city,iso_3166-2,Tbilisi,,თბილისი,,,,,,
GH-AA,2,region,iso_3166-2,Greater Accra,,,,,,,,
GH-AF,2,region,iso_3166-2,Ahafo,,,,,,,,
GH-AH,2,region,iso_3166-2,Ashanti,,,,,,,,
GH-BE,2,region,iso_3166-2,Bono East,,,,,,,,
GH-BO,2,region,iso_3166-2,Bono,,,,,,,,
GH-CP,2,region,iso_3166-2,Central,,,,,,,,
GH-EP,2,region,iso_3166-2,Eastern,,,,,,,,
GH-NE,2,region,iso_3166-2,North East,,,,,,,,
GH-NP,2,region,iso_3166-2,Northern,,,,,,,,
GH-OT,2,region,iso_3166-2,Oti,,,,,,,,
GH-SV,2,region,iso_3166-2,Savannah,,,,,,,,
GH-TV,2,region,iso_3166-2,Volta,,,,,,,,
GH-UE,2,region,iso_3166-2,Upper East,,,,,,,,
GH-UW,2,region,iso_3166-2,Upper West,,,,,,,,
GH-WN,2,region,iso_3166-2,Western North,,,,,,,,
GH-WP,2,region,iso_3166-2,Western,,,,,,,,
GL-AV,2,municipality,iso_3166-2,Avannaata Kommunia,,,,,,,,
GL-KU,2,municipality,iso_3166-2,Kommune Kujalleq,,,,,,,,
GL-QE,2,municipality,iso_3166-2,Qeqqata Kommunia,,,,,,,,
GL-QT,2,municipality,iso_3166-2,Kommune Qeqertalik,,,,,,,,
GL-SM,2,municipality,iso_3166-2,Kommuneqarfik Sermersooq,,,,,,,,
GM-B,2,city,iso_3166-2,Banjul,,,,,,,,
GM-L,2,division,iso_3166-2,Lower River,,,,,,,,
GM-M,2,division,iso_3166-2,Central River,,,,,,,,
GM-N,2,division,iso_3166-2,North Bank,,,,,,,,
GM-U,2,division,iso_3166-2,Upper River,,,,,,,,
GM-W,2,division,iso_3166-2,Western,,,,,,,,
GN-B,2,administrative region,iso_3166-2,Boké,,,,,,,,
GN-BE,3,prefecture,iso_3166-2,Beyla,,,,,,,,
GN-BF,3,prefecture,iso_3166-2,Boffa,,,,,,,,
GN-BK,3,prefecture,iso_3166-2,Boké,,,,,,,,
GN-C,2,governorate,iso_3166-2,Conakry,,,,,,,,
GN-CO,3,prefecture,iso_3166-2,Coyah,,,,,,,,
GN-D,2,administrative region,iso_3166-2,Kindia,,,,,,,,
GN-DB,3,prefecture,iso_3166-2,Dabola,,,,,,,,
GN-DI,3,prefecture,iso_3166-2,Dinguiraye,,,,,,,,
GN-DL,3,prefecture,iso_3166-2,Dalaba,,,,,,,,
GN-DU,3,prefecture,iso_3166-2,Dubréka,,,,,,,,
GN-F,2,administrative region,iso_3166-2,Faranah,,,,,,,,
GN-FA,3,prefecture,iso_3166-2,Faranah,,,,,,,,
GN-FO,3,prefecture,iso_3166-2,Forécariah,,,,,,,,
GN-FR,3,prefecture,iso_3166-2,Fria,,,,,,,,
GN-GA,3,prefecture,iso_3166-2,Gaoual,,,,,,,,
GN-GU,3,prefecture,iso_3166-2,Guékédou,,,,,,,,
GN-K,2,administrative region,iso_3166-2,Kankan,,,,,,,,
GN-KA,3,prefecture,iso_3166-2,Kankan,,,,,,,,
GN-KB,3,prefecture,iso_3166-2,Koubia,,,,,,,,
GN-KD,3,prefecture,iso_3166-2,Kindia,,,,,,,,
GN-KE,3,prefecture,iso_3166-2,Kérouané,,,,,,,,
GN-KN,3,prefecture,iso_3166-2,Koundara,,,,,,,,
GN-KO,3,prefecture,iso_3166-2,Kouroussa,,,,,,,,
GN-KS,3,prefecture,iso_3166-2,Kissidougou,,,,,,,,
GN-L,2,administrative region,iso_3166-2,Labé,,,,,,,,
GN-LA,3,prefecture,iso_3166-2,Labé,,,,,,,,
GN-LE,3,prefecture,iso_3166-2,Lélouma,,,,,,,,
GN-LO,3,prefecture,iso_3166-2,Lola,,,,,,,,
GN-M,2,administrative region,iso_3166-2,Mamou,,,,,,,,
GN-MC,3,prefecture,iso_3166-2,Macenta,,,,,,,,
GN-MD,3,prefecture,iso_3166-2,Mandiana,,,,,,,,
GN-ML,3,prefecture,iso_3166-2,Mali,,,,,,,,
GN-MM,3,prefecture,iso_3166-2,Mamou,,,,,,,,
GN-N,2,administrative region,iso_3166-2,Nzérékoré,,,,,,,,
GN-NZ,3,prefecture,iso_3166-2,Nzérékoré,,,,,,,,
GN-PI,3,prefecture,iso_3166-2,Pita,,,,,,,,
GN-SI,3,prefecture,iso_3166-2,Siguiri,,,,,,,,
GN-TE,3,prefecture,iso_3166-2,Télimélé,,,,,,,,
GN-TO,3,prefecture,iso_3166-2,Tougué,,,,,,,,
GN-YO,3,prefecture,iso_3166-2,Yomou,,,,,,,,
GQ-AN,3,province,iso_3166-2,Annobón,Annobon,,Ano Bom,,,,,
GQ-BN,3,province,iso_3166-2,Bioko Norte,Bioko Nord,,Bioko Norte,,,,,
GQ-BS,3,province,iso_3166-2,Bioko Sur,Bioko Sud,,Bioko Sul,,,,,
GQ-C,2,region,iso_3166-2,Región Continental,Région Continentale,,Região Continental,,,,,
GQ-CS,3,province,iso_3166-2,Centro Sur,Centro Sud,,Centro Sul,,,,,
GQ-I,2,region,iso_3166-2,Región Insular,Région Insulaire,,Região Insular,,,,,
GQ-KN,3,province,iso_3166-2,Kié-Ntem,Kié-Ntem,,Kié-Ntem,,,,,
GQ-LI,3,province,iso_3166-2,Litoral,Littoral,,Litoral,,,,,
GQ-WN,3,province,iso_3166-2,Wele-Nzas,Wele-Nzas,,Wele-Nzas,,,,,
GR-A,2,administrative_region,iso_3166-2,Anatolikí Makedonía kai Thráki,Eastern Macedonia and Thrace,Ανατολική Μακεδονία και Θράκη,,,,,,
GR-B,2,administrative_region,iso_3166-2,Kentrikí Makedonía,Central Macedonia,Κεντρική Μακεδονία,,,,,,
GR-C,2,administrative_region,iso_3166-2,Dytikí Makedonía,Western Macedonia,Δυτική Μακεδονία,,,,,,
GR-D,2,administrative_region,iso_3166-2,Ípeiros,Epirus,Ήπειρος,,,,,,
GR-E,2,administrative_region,iso_3166-2,Thessalía,Thessaly,Θεσσαλία,,,,,,
GR-F,2,administrative_region,iso_3166-2,Ionía Nísia,Ionian Islands,Ιόνια Νησιά,,,,,,
GR-G,2,administrative_region,iso_3166-2,Dytikí Elláda,Western Greece,Δυτική Ελλάδα,,,,,,
GR-H,2,administrative_region,iso_3166-2,Stereá Elláda,Central Greece,Στερεά Ελλάδα,,,,,,
GR-I,2,administrative_region,iso_3166-2,Attikí,Attica,Αττική,,,,,,
GR-J,2,administrative_region,iso_3166-2,Pelopónnisos,Peloponnese,Πελοπόννησος,,,,,,
GR-K,2,administrative_region,iso_3166-2,Vóreio Aigaío,Northern Aegean,Βόρειο Αιγαίο,,,,,,
GR-L,2,administrative_region,iso_3166-2,Nótio Aigaío,Southern Aegean,Νότιο Αιγαίο,,,,,,
GR-M,2,administrative_region,iso_3166-2,Kríti,Crete,Κρήτη,,,,,,
GT-AV,2,department,iso_3166-2,Alta Verapaz,,,,,,,,
GT-BV,2,department,iso_3166-2,Baja Verapaz,,,,,,,,
GT-CM,2,department,iso_3166-2,Chimaltenango,,,,,,,,
GT-CQ,2,department,iso_3166-2,Chiquimula,,,,,,,,
GT-ES,2,department,iso_3166-2,Escuintla,,,,,,,,
GT-GU,2,department,iso_3166-2,Guatemala,,,,,,,,
GT-HU,2,department,iso_3166-2,Huehuetenango,,,,,,,,
GT-IZ,2,department,iso_3166-2,Izabal,,,,,,,,
GT-JA,2,department,iso_3166-2,Jalapa,,,,,,,,
GT-JU,2,department,iso_3166-2,Jutiapa,,,,,,,,
GT-PE,2,department,iso_3166-2,Petén,,,,,,,,
GT-PR,2,department,iso_3166-2,El Progreso,,,,,,,,
GT-QC,2,department,iso_3166-2,Quiché,,,,,,,,
GT-QZ,2,department,iso_3166-2,Quetzaltenango,,,,,,,,
GT-RE,2,department,iso_3166-2,Retalhuleu,,,,,,,,
GT-SA,2,department,iso_3166-2,Sacatepéquez,,,,,,,,
GT-SM,2,department,iso_3166-2,San Marcos,,,,,,,,
GT-SO,2,department,iso_3166-2,Sololá,,,,,,,,
GT-SR,2,department,iso_3166-2,Santa Rosa,,,,,,,,
GT-SU,2,department,iso_3166-2,Suchitepéquez,,,,,,,,
GT-TO,2,department,iso_3166-2,Totonicapán,,,,,,,,
GT-ZA,2,department,iso_3166-2,Zacapa,,,,,,,,
GW-BA,3,region,iso_3166-2,Bafatá,,,,,,,,
GW-BL,3,region,iso_3166-2,Bolama,,,,,,,,
GW-BM,3,region,iso_3166-2,Biombo,,,,,,,,
GW-BS,2,autonomous sector,iso_3166-2,Bissau,,,,,,,,
GW-CA,3,region,iso_3166-2,Cacheu,,,,,,,,
GW-GA,3,region,iso_3166-2,Gabú,,,,,,,,
GW-L,2,province,iso_3166-2,Leste,,,,,,,,
GW-N,2,province,iso_3166-2,Norte,,,,,,,,
GW-OI,3,region,iso_3166-2,Oio,,,,,,,,
GW-QU,3,region,iso_3166-2,Quinara,,,,,,,,
GW-S,2,province,iso_3166-2,Sul,,,,,,,,
GW-TO,3,region,iso_3166-2,Tombali,,,,,,,,
GY-BA,2,region,iso_3166-2,Barima-Waini,,,,,,,,
GY-CU,2,region,iso_3166-2,Cuyuni-Mazaruni,,,,,,,,
GY-DE,2,region,iso_3166-2,Demerara-Mahaica,,,,,,,,
GY-EB,2,region,iso_3166-2,East Berbice-Corentyne,,,,,,,,
GY-ES,2,region,iso_3166-2,Essequibo Islands-West Demerara,,,,,,,,
GY-MA,2,region,iso_3166-2,Mahaica-Berbice,,,,,,,,
GY-PM,2,region,iso_3166-2,Pomeroon-Supenaam,,,,,,,,
GY-PT,2,region,iso_3166-2,Potaro-Siparuni,,,,,,,,
GY-UD,2,region,iso_3166-2,Upper Demerara-Berbice,,,,,,,,
GY-UT,2,region,iso_3166-2,Upper Takutu-Upper Essequibo,,,,,,,,
HN-AT,2,department,iso_3166-2,Atlántida,,,,,,,,
HN-CH,2,department,iso_3166-2,Choluteca,,,,,,,,
HN-CL,2,department,iso_3166-2,Colón,,,,,,,,
HN-CM,2,department,iso_3166-2,Comayagua,,,,,,,,
HN-CP,2,department,iso_3166-2,Copán,,,,,,,,
HN-CR,2,department,iso_3166-2,Cortés,,,,,,,,
HN-EP,2,department,iso_3166-2,El Paraíso,,,,,,,,
HN-FM,2,department,iso_3166-2,Francisco Morazán,,,,,,,,
HN-GD,2,department,iso_3166-2,Gracias a Dios,,,,,,,,
HN-IB,2,department,iso_3166-2,Islas de la Bahía,,,,,,,,
HN-IN,2,department,iso_3166-2,Intibucá,,,,,,,,
HN-LE,2,department,iso_3166-2,Lempira,,,,,,,,
HN-LP,2,department,iso_3166-2,La Paz,,,,,,,,
HN-OC,2,department,iso_3166-2,Ocotepeque,,,,,,,,
HN-OL,2,department,iso_3166-2,Olancho,,,,,,,,
HN-SB,2,department,iso_3166-2,Santa Bárbara,,,,,,,,
HN-VA,2,department,iso_3166-2,Valle,,,,,,,,
HN-YO,2,department,iso_3166-2,Yoro,,,,,,,,
HR-01,2,county,iso_3166-2,Zagrebačka županija,Zagreb County,,,,,,,
HR-02,2,county,iso_3166-2,Krapinsko-zagorska županija,Krapina-Zagorje,,,,,,,
HR-03,2,county,iso_3166-2,Sisačko-moslavačka županija,Sisak-Moslavina,,,,,,,
HR-04,2,county,iso_3166-2,Karlovačka županija,Karlovac,,,,,,,
HR-05,2,county,iso_3166-2,Varaždinska županija,Varaždin,,,,,,,
HR-06,2,county,iso_3166-2,Koprivničko-križevačka županija,Koprivnica-Križevci,,,,,,,
HR-07,2,county,iso_3166-2,Bjelovarsko-bilogorska županija,Bjelovar-Bilogora,,,,,,,
HR-08,2,county,iso_3166-2,Primorsko-goranska županija,Primorje-Gorski Kotar,,,,,,,
HR-09,2,county,iso_3166-2,Ličko-senjska županija,Lika-Senj,,,,,,,
HR-10,2,county,iso_3166-2,Virovitičko-podravska županija,Virovitica-Podravina,,,,,,,
HR-11,2,county,iso_3166-2,Požeško-slavonska županija,Požega-Slavonia,,,,,,,
HR-12,2,county,iso_3166-2,Brodsko-posavska županija,Brod-Posavina,,,,,,,
HR-13,2,county,iso_3166-2,Zadarska županija,Zadar,,,,,,,
HR-14,2,county,iso_3166-2,Osječko-baranjska županija,Osijek-Baranja,,,,,,,
HR-15,2,county,iso_3166-2,Šibensko-kninska županija,Šibenik-Knin,,,,,,,
HR-16,2,county,iso_3166-2,Vukovarsko-srijemska županija,Vukovar-Srijem,,,,,,,
HR-17,2,county,iso_3166-2,Splitsko-dalmatinska županija,Split-Dalmatia,,,,,,,
HR-18,2,county,iso_3166-2,Istarska županija,Istria,,,,,,,
HR-19,2,county,iso_3166-2,Dubrovačko-neretvanska županija,Dubrovnik-Neretva,,,,,,,
HR-20,2,county,iso_3166-2,Međimurska županija,Međimurje,,,,,,,
HR-21,2,city,iso_3166-2,Grad Zagreb,Zagreb City,,,,,,,
HT-AR,2,department,iso_3166-2,Artibonite,Latibonit,,,,,,,
HT-CE,2,department,iso_3166-2,Centre,Sant,,,,,,,
HT-GA,2,department,iso_3166-2,Grande’Anse,Grandans,,,,,,,
HT-ND,2,department,iso_3166-2,Nord,Nò,,,,,,,
HT-NE,2,department,iso_3166-2,Nord-Est,Nòdès,,,,,,,
HT-NI,2,department,iso_3166-2,Nippes,Nip,,,,,,,
HT-NO,2,department,iso_3166-2,Nord-Ouest,Nòdwès,,,,,,,
HT-OU,2,department,iso_3166-2,Ouest,Lwès,,,,,,,
HT-SD,2,department,iso_3166-2,Sud,Sid,,,,,,,
HT-SE,2,department,iso_3166-2,Sud-Est,Sidès,,,,,,,
HU-BA,2,county,iso_3166-2,Baranya,,,,,,,,
HU-BE,2,county,iso_3166-2,Békés,,,,,,,,
HU-BK,2,county,iso_3166-2,Bács-Kiskun,,,,,,,,
HU-BU,2,capital city,iso_3166-2,Budapest,,,,,,,,
HU-BZ,2,county,iso_3166-2,Borsod-Abaúj-Zemplén,,,,,,,,
HU-CS,2,county,iso_3166-2,Csongrád,,,,,,,,
HU-FE,2,county,iso_3166-2,Fejér,,,,,,,,
HU-GS,2,county,iso_3166-2,Győr-Moson-Sopron,,,,,,,,
HU-HB,2,county,iso_3166-2,Hajdú-Bihar,,,,,,,,
HU-HE,2,county,iso_3166-2,Heves,,,,,,,,
HU-JN,2,county,iso_3166-2,Jász-Nagykun-Szolnok,,,,,,,,
HU-KE,2,county,iso_3166-2,Komárom-Esztergom,,,,,,,,
HU-NO,2,county,iso_3166-2,Nógrád,,,,,,,,
HU-PE,2,county,iso_3166-2,Pest,,,,,,,,
HU-SO,2,county,iso_3166-2,Somogy,,,,,,,,
HU-SZ,2,county,iso_3166-2,Szabolcs-Szatmár-Bereg,,,,,,,,
HU-TO,2,county,iso_3166-2,Tolna,,,,,,,,
HU-VA,2,county,iso_3166-2,Vas,,,,,,,,
HU-VE,2,county,iso_3166-2,Veszprém,,,,,,,,
HU-ZA,2,county,iso_3166-2,Zala,,,,,,,,
ID-AC,3,province,iso_3166-2,Aceh,,,Aceh,,,,,
ID-BA,3,province,iso_3166-2,Bali,,,Bali,,,,,
ID-BB,3,province,iso_3166-2,Kepulauan Bangka Belitung,Babel,,Bangka Belitung Islands,,,,,
ID-BE,3,province,iso_3166-2,Bengkulu,,,Bengkulu,,,,,
ID-BT,3,province,iso_3166-2,Banten,,,Banten,,,,,
ID-GO,3,province,iso_3166-2,Gorontalo,,,Gorontalo,,,,,
ID-JA,3,province,iso_3166-2,Jambi,,,Jambi,,,,,
ID-JB,3,province,iso_3166-2,Jawa Barat,Jabar,,West Java,,,,,
ID-JI,3,province,iso_3166-2,Jawa Timur,Jatim,,East Java,,,,,
ID-JK,3,capital region,iso_3166-2,Jakarta Raya,DKI Jakarta,,Jakarta,,,,,
ID-JT,3,province,iso_3166-2,Jawa Tengah,Jateng,,Central Java,,,,,
ID-JW,2,geographical_unit,iso_3166-2,Jawa,,,,,,,,
ID-KA,2,geographical_unit,iso_3166-2,Kalimantan,,,,,,,,
ID-KB,3,province,iso_3166-2,Kalimantan Barat,Kalbar,,West Kalimantan,,,,,
ID-KI,3,province,iso_3166-2,Kalimantan Timur,Kaltim,,East Kalimantan,,,,,
ID-KR,3,province,iso_3166-2,Kepulauan Riau,Kepri,,Riau Islands,,,,,
ID-KS,3,province,iso_3166-2,Kalimantan Selatan,Kalsel,,South Kalimantan,,,,,
ID-KT,3,province,iso_3166-2,Kalimantan Tengah,Kalteng,,Central Kalimantan,,,,,
ID-KU,3,province,iso_3166-2,Kalimantan Utara,Kaltara; Kalut,,North Kalimantan,,,,,
ID-LA,3,province,iso_3166-2,Lampung,,,Lampung,,,,,
ID-MA,3,province,iso_3166-2,Maluku,,,Maluku,,,,,
ID-ML,2,geographical_unit,iso_3166-2,Maluku,,,,,,,,
ID-MU,3,province,iso_3166-2,Maluku Utara,Malut,,North Maluku,,,,,
ID-NB,3,province,iso_3166-2,Nusa Tenggara Barat,NTB,,West Nusa Tenggara,,,,,
ID-NT,3,province,iso_3166-2,Nusa Tenggara Timur,NTT,,East Nusa Tenggara,,,,,
ID-NU,2,geographical_unit,iso_3166-2,Nusa Tenggara,,,,,,,,
ID-PA,3,province,iso_3166-2,Papua,,,Papua,,,,,
ID-PB,3,province,iso_3166-2,Papua Barat,Pabar,,West Papua,,,,,
ID-PP,2,geographical_unit,iso_3166-2,Papua,,,,,,,,
ID-RI,3,province,iso_3166-2,Riau,,,Riau,,,,,
ID-SA,3,province,iso_3166-2,Sulawesi Utara,Sulut,,North Sulawesi,,,,,
ID-SB,3,province,iso_3166-2,Sumatera Barat,Sumbar,,West Sumatra,,,,,
ID-SG,3,province,iso_3166-2,Sulawesi Tenggara,Sultra,,Southeast Sulawesi,,,,,
ID-SL,2,geographical_unit,iso_3166-2,Sulawesi,,,,,,,,
ID-SM,2,geographical_unit,iso_3166-2,Sumatera,,,,,,,,
