date,discharged_cumulative
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,4
2020-03-17,9
2020-03-18,10
2020-03-19,14
2020-03-20,19
2020-03-21,23
2020-03-22,33
2020-03-23,35
2020-03-24,43
2020-03-25,55
2020-03-26,61
2020-03-27,72
2020-03-28,83
2020-03-29,90
2020-03-30,101
2020-03-31,114
2020-04-01,136
2020-04-02,152
2020-04-03,173
2020-04-04,183
2020-04-05,188
2020-04-06,199
2020-04-07,219
2020-04-08,239
2020-04-09,263
2020-04-10,279
2020-04-11,299
2020-04-12,309
2020-04-13,318
2020-04-14,333
2020-04-15,367
2020-04-16,394
2020-04-17,418
2020-04-18,441
2020-04-19,451
2020-04-20,467
2020-04-21,489
2020-04-22,517
2020-04-23,546
2020-04-24,574
2020-04-25,583
2020-04-26,592
2020-04-27,609
2020-04-28,623
2020-04-29,643
2020-04-30,667
2020-05-01,688
2020-05-02,696
